timestamp,node_i,node_j
1996-07-03 20:00:00,1,1
1996-07-08 23:00:00,1,0
1996-07-13 13:00:00,1,0
1996-07-31 15:00:00,1,0
1996-09-08 20:00:00,1,1
1996-10-19 17:00:00,0,1
1997-07-16 00:00:00,0,1
1998-06-13 15:00:00,1,0
1998-08-17 19:00:00,0,0
1999-08-26 11:00:00,1,1
1999-09-16 16:00:00,1,0
2000-07-03 22:00:00,0,1
2000-08-11 23:00:00,0,1
2000-08-28 01:00:00,0,1
2000-08-28 18:00:00,0,1
2000-09-03 18:00:00,0,1
2001-06-17 15:00:00,0,0
2001-08-13 17:00:00,0,0
2002-06-26 19:00:00,0,1
2002-08-16 19:00:00,0,0
2002-09-02 13:00:00,0,1
2003-07-22 20:00:00,1,0
2003-08-04 20:00:00,1,0
2003-08-17 23:00:00,0,1
2003-09-23 14:00:00,1,0
2004-06-17 20:00:00,0,0
2004-06-25 22:00:00,1,0
2004-07-02 23:00:00,0,1
2004-08-11 19:00:00,1,0
2004-09-08 10:00:00,0,0
2004-09-18 13:00:00,0,1
2004-09-28 21:00:00,0,1
2005-07-06 23:00:00,1,1
2005-10-14 21:00:00,0,1
2006-06-02 00:00:00,0,1
2006-06-02 20:00:00,0,1
2006-06-29 23:00:00,0,1
2006-07-12 21:00:00,0,0
2006-07-21 21:00:00,0,1
2006-08-11 00:00:00,1,1
2006-08-25 15:00:00,1,1
2006-10-28 17:00:00,1,0
2007-06-04 13:00:00,1,0
2007-06-28 00:00:00,0,0
2007-07-11 22:00:00,1,0
2007-07-18 11:00:00,1,1
2007-08-08 10:00:00,0,0
2007-10-11 22:00:00,1,1
2008-06-14 23:00:00,0,1
2008-06-22 19:00:00,1,1
2008-07-28 00:00:00,1,1
2008-08-11 14:00:00,1,1
2008-08-14 21:00:00,1,1
2008-08-15 22:00:00,1,1
2008-09-06 22:00:00,1,0
2009-07-27 00:00:00,1,0
2009-07-29 19:00:00,1,0
2010-08-23 02:00:00,0,1
2010-10-01 10:00:00,1,0
2010-10-12 00:00:00,1,1
2011-08-01 23:00:00,0,1
2011-08-14 17:00:00,1,1
2011-08-20 00:00:00,1,1
2011-08-22 00:00:00,1,0
2012-06-07 00:00:00,1,1
2012-06-22 18:00:00,0,1
2012-07-18 20:00:00,0,1
2012-08-01 16:00:00,0,1
2012-08-15 18:00:00,1,1
2012-09-08 15:00:00,1,0
2013-05-08 13:00:00,0,1
2013-05-09 15:00:00,0,1
2013-05-23 19:00:00,1,0
2013-06-03 03:00:00,0,0
2013-09-02 17:00:00,1,1
2014-05-10 22:00:00,0,0
2014-05-17 02:00:00,1,0
2014-06-13 22:00:00,1,0
2014-07-03 00:00:00,1,0
2014-07-04 00:00:00,1,0
2014-07-15 19:00:00,1,0
2014-08-31 21:00:00,0,0
2014-10-22 08:00:00,0,1
2015-05-31 22:00:00,0,1
2015-07-15 16:00:00,1,1
2015-07-30 19:00:00,0,0
2016-07-25 21:00:00,0,0
2017-05-05 15:00:00,1,0
2017-06-19 21:00:00,1,0
2017-08-02 21:00:00,1,1
2017-08-04 12:00:00,1,0
2018-06-28 22:00:00,0,1
2018-07-17 20:00:00,1,0
2018-07-27 21:00:00,1,0
2018-08-04 15:00:00,0,0
2018-08-07 23:00:00,0,0
2018-08-11 12:00:00,0,1
2018-09-25 17:00:00,0,0
2018-09-28 10:00:00,0,0
2019-07-18 00:00:00,0,0
2019-07-22 23:00:00,1,0
2019-07-23 12:00:00,1,0
2019-07-31 20:00:00,0,1
2019-08-07 21:00:00,1,0
2020-07-10 17:00:00,0,0
2021-06-08 21:00:00,0,0
2021-07-02 20:00:00,1,1
2021-07-08 19:00:00,1,0
2021-08-22 02:00:00,0,0
2021-08-22 19:00:00,0,1
2021-08-27 23:00:00,0,0
2021-09-01 22:00:00,1,1
2022-07-18 19:00:00,0,0
2022-09-13 09:00:00,1,1
2023-07-16 17:00:00,1,0
2023-09-29 12:00:00,0,1
2024-08-06 21:00:00,0,0
