timestamp,node_i,node_j,node
1996-07-03,1,1,B2
1996-07-08,1,1,B2
1996-07-13,1,1,B2
1996-07-31,1,1,B2
1996-09-08,0,0,A1
1996-10-19,1,1,B2
1997-07-16,0,0,A1
1998-06-13,1,0,A2
1998-08-17,0,0,A1
1999-08-26,1,0,A2
1999-09-16,1,1,B2
2000-07-03,1,0,A2
2000-08-11,1,0,A2
2000-08-28,1,0,A2
2000-09-03,0,0,A1
2001-06-17,0,1,B1
2001-08-13,0,0,A1
2002-06-26,0,0,A1
2002-08-16,0,0,A1
2002-09-02,0,0,A1
2003-07-22,1,1,B2
2003-08-04,0,0,A1
2003-08-17,1,0,A2
2003-09-23,1,1,B2
2004-06-17,0,0,A1
2004-06-25,1,1,B2
2004-07-02,1,0,A2
2004-08-11,1,1,B2
2004-09-08,0,1,B1
2004-09-18,1,0,A2
2004-09-28,0,0,A1
2005-07-06,1,1,B2
2005-10-14,0,0,A1
2006-06-02,0,0,A1
2006-06-29,0,1,B1
2006-07-12,0,0,A1
2006-07-21,0,0,A1
2006-08-11,1,0,A2
2006-08-25,1,1,B2
2006-10-28,1,1,B2
2007-06-04,1,1,B2
2007-06-28,0,0,A1
2007-07-11,0,1,B1
2007-07-18,1,0,A2
2007-08-08,0,0,A1
2007-10-11,1,1,B2
2008-06-14,0,0,A1
2008-06-22,1,1,B2
2008-07-28,1,1,B2
2008-08-11,1,1,B2
2008-08-14,1,1,B2
2008-08-15,1,1,B2
2008-09-06,0,1,B1
2009-07-27,1,1,B2
2009-07-29,1,1,B2
2010-08-23,0,0,A1
2010-10-01,0,1,B1
2010-10-12,1,0,A2
2011-08-01,0,0,A1
2011-08-14,1,0,A2
2011-08-20,1,1,B2
2011-08-22,1,1,B2
2012-06-07,1,0,A2
2012-06-22,0,1,B1
2012-07-18,0,0,A1
2012-08-01,1,0,A2
2012-08-15,1,1,B2
2012-09-08,1,1,B2
2013-05-08,0,0,A1
2013-05-09,0,0,A1
2013-05-23,0,1,B1
2013-06-03,0,1,B1
2013-09-02,1,0,A2
2014-05-10,0,0,A1
2014-05-17,1,1,B2
2014-06-13,1,1,B2
2014-07-03,0,1,B1
2014-07-04,0,1,B1
2014-07-15,1,1,B2
2014-08-31,0,0,A1
2014-10-22,1,0,A2
2015-05-31,0,1,B1
2015-07-15,1,1,B2
2015-07-30,0,0,A1
2016-07-25,0,0,A1
2017-05-05,1,1,B2
2017-06-19,0,1,B1
2017-08-02,1,1,B2
2017-08-04,1,1,B2
2018-06-28,0,0,A1
2018-07-17,0,0,A1
2018-07-27,1,1,B2
2018-08-04,0,0,A1
2018-08-07,0,0,A1
2018-08-11,1,0,A2
2018-09-25,0,0,A1
2018-09-28,0,1,B1
2019-07-18,0,0,A1
2019-07-22,0,1,B1
2019-07-23,1,1,B2
2019-07-31,0,1,B1
2019-08-07,1,1,B2
2020-07-10,0,0,A1
2021-06-08,0,0,A1
2021-07-02,1,0,A2
2021-07-08,1,1,B2
2021-08-22,0,0,A1
2021-08-27,0,0,A1
2021-09-01,1,1,B2
2022-07-18,0,0,A1
2022-09-13,1,1,B2
2023-07-16,0,1,B1
2023-09-29,0,0,A1
2024-08-06,0,0,A1
2025-07-14,0,0,A1
2025-07-31,0,0,A1
2025-08-13,0,0,A1
2025-10-30,1,1,B2
