timestamp,node_i,node_j,node
1996-07-03,4,3,D5
1996-07-08,4,1,B5
1996-07-13,4,0,A5
1996-07-31,4,0,A5
1996-09-08,0,0,A1
1996-10-19,4,1,B5
1997-07-16,0,1,B1
1998-06-13,3,1,B4
1998-08-17,1,0,A2
1999-08-26,0,2,C1
1999-09-16,4,0,A5
2000-07-03,3,3,D4
2000-08-11,1,3,D2
2000-08-28,1,3,D2
2000-09-03,2,1,B3
2001-06-17,2,0,A3
2001-08-13,2,0,A3
2002-06-26,0,2,C1
2002-08-16,0,0,A1
2002-09-02,0,1,B1
2003-07-22,4,0,A5
2003-08-04,4,0,A5
2003-08-17,2,3,D3
2003-09-23,4,0,A5
2004-06-17,1,0,A2
2004-06-25,4,0,A5
2004-07-02,2,2,C3
2004-08-11,4,0,A5
2004-09-08,2,0,A3
2004-09-18,2,2,C3
2004-09-28,2,1,B3
2005-07-06,3,1,B4
2005-10-14,0,1,B1
2006-06-02,1,1,B2
2006-06-29,4,0,A5
2006-07-12,0,1,B1
2006-07-21,2,0,A3
2006-08-11,3,3,D4
2006-08-25,3,3,D4
2006-10-28,4,1,B5
2007-06-04,4,0,A5
2007-06-28,2,0,A3
2007-07-11,3,0,A4
2007-07-18,3,2,C4
2007-08-08,1,1,B2
2007-10-11,4,2,C5
2008-06-14,1,0,A2
2008-06-22,4,1,B5
2008-07-28,4,2,C5
2008-08-11,4,3,D5
2008-08-14,4,2,C5
2008-08-15,4,2,C5
2008-09-06,3,0,A4
2009-07-27,4,0,A5
2009-07-29,4,0,A5
2010-08-23,0,2,C1
2010-10-01,4,0,A5
2010-10-12,3,3,D4
2011-08-01,1,3,D2
2011-08-14,3,2,C4
2011-08-20,3,0,A4
2011-08-22,3,2,C4
2012-06-07,4,3,D5
2012-06-22,3,0,A4
2012-07-18,2,1,B3
2012-08-01,1,2,C2
2012-08-15,4,1,B5
2012-09-08,4,0,A5
2013-05-08,0,2,C1
2013-05-09,1,0,A2
2013-05-23,3,0,A4
2013-06-03,3,0,A4
2013-09-02,3,0,A4
2014-05-10,1,0,A2
2014-05-17,4,0,A5
2014-06-13,4,0,A5
2014-07-03,3,0,A4
2014-07-04,4,1,B5
2014-07-15,4,0,A5
2014-08-31,0,0,A1
2014-10-22,0,3,D1
2015-05-31,2,0,A3
2015-07-15,4,3,D5
2015-07-30,1,0,A2
2016-07-25,0,0,A1
2017-05-05,4,0,A5
2017-06-19,3,0,A4
2017-08-02,4,0,A5
2017-08-04,4,0,A5
2018-06-28,1,1,B2
2018-07-17,2,0,A3
2018-07-27,4,0,A5
2018-08-04,0,0,A1
2018-08-07,0,0,A1
2018-08-11,1,3,D2
2018-09-25,0,0,A1
2018-09-28,2,0,A3
2019-07-18,1,1,B2
2019-07-22,3,0,A4
2019-07-23,4,1,B5
2019-07-31,3,0,A4
2019-08-07,3,0,A4
2020-07-10,0,0,A1
2021-06-08,0,0,A1
2021-07-02,3,2,C4
2021-07-08,3,0,A4
2021-08-22,0,0,A1
2021-08-27,0,0,A1
2021-09-01,4,2,C5
2022-07-18,0,2,C1
2022-09-13,4,0,A5
2023-07-16,3,0,A4
2023-09-29,0,2,C1
2024-08-06,2,1,B3
2025-07-14,0,0,A1
2025-07-31,2,1,B3
2025-08-13,0,0,A1
2025-10-30,4,0,A5
