timestamp,node_i,node_j,node
1996-07-03 20:00:00,4,0,A5
1996-07-08 20:00:00,4,0,A5
1996-07-13 20:00:00,3,0,A4
1996-07-31 20:00:00,2,0,A3
1996-09-08 20:00:00,1,1,B2
1996-10-19 20:00:00,3,1,B4
1997-07-16 20:00:00,1,2,C2
1998-06-13 20:00:00,3,1,B4
1998-08-17 20:00:00,0,0,A1
1999-08-26 20:00:00,2,1,B3
1999-09-16 20:00:00,3,0,A4
2000-07-03 20:00:00,3,3,D4
2000-08-11 20:00:00,3,2,C4
2000-08-28 20:00:00,2,3,D3
2000-09-03 20:00:00,0,0,A1
2001-06-17 20:00:00,1,0,A2
2001-08-13 20:00:00,0,0,A1
2002-06-26 20:00:00,1,1,B2
2002-08-16 20:00:00,0,1,B1
2002-09-02 20:00:00,1,1,B2
2003-07-22 20:00:00,3,0,A4
2003-08-04 20:00:00,2,1,B3
2003-08-17 20:00:00,3,3,D4
2003-09-23 20:00:00,3,0,A4
2004-06-17 20:00:00,0,1,B1
2004-06-25 20:00:00,4,0,A5
2004-07-02 20:00:00,3,2,C4
2004-08-11 20:00:00,4,0,A5
2004-09-08 20:00:00,2,0,A3
2004-09-18 20:00:00,3,2,C4
2004-09-28 20:00:00,2,1,B3
2005-07-06 20:00:00,2,1,B3
2005-10-14 20:00:00,1,2,C2
2006-06-02 20:00:00,2,1,B3
2006-06-29 20:00:00,3,1,B4
2006-07-12 20:00:00,0,2,C1
2006-07-21 20:00:00,1,0,A2
2006-08-11 20:00:00,4,3,D5
2006-08-25 20:00:00,4,3,D5
2006-10-28 20:00:00,4,0,A5
2007-06-04 20:00:00,3,0,A4
2007-06-28 20:00:00,0,0,A1
2007-07-11 20:00:00,3,0,A4
2007-07-18 20:00:00,4,2,C5
2007-08-08 20:00:00,0,1,B1
2007-10-11 20:00:00,4,0,A5
2008-06-14 20:00:00,1,0,A2
2008-06-22 20:00:00,3,0,A4
2008-07-28 20:00:00,3,2,C4
2008-08-11 20:00:00,4,1,B5
2008-08-14 20:00:00,4,0,A5
2008-08-15 20:00:00,4,1,B5
2008-09-06 20:00:00,2,0,A3
2009-07-27 20:00:00,3,0,A4
2009-07-29 20:00:00,3,0,A4
2010-08-23 20:00:00,1,3,D2
2010-10-01 20:00:00,3,0,A4
2010-10-12 20:00:00,4,2,C5
2011-08-01 20:00:00,2,3,D3
2011-08-14 20:00:00,3,1,B4
2011-08-20 20:00:00,1,0,A2
2011-08-22 20:00:00,4,2,C5
2012-06-07 20:00:00,3,2,C4
2012-06-22 20:00:00,2,0,A3
2012-07-18 20:00:00,0,0,A1
2012-08-01 20:00:00,2,2,C3
2012-08-15 20:00:00,3,0,A4
2012-09-08 20:00:00,4,0,A5
2013-05-08 20:00:00,2,1,B3
2013-05-09 20:00:00,2,1,B3
2013-05-23 20:00:00,1,0,A2
2013-06-03 20:00:00,2,0,A3
2013-09-02 20:00:00,2,0,A3
2014-05-10 20:00:00,1,0,A2
2014-05-17 20:00:00,3,0,A4
2014-06-13 20:00:00,3,0,A4
2014-07-03 20:00:00,2,0,A3
2014-07-04 20:00:00,3,1,B4
2014-07-15 20:00:00,4,0,A5
2014-08-31 20:00:00,0,1,B1
2014-10-22 20:00:00,2,3,D3
2015-05-31 20:00:00,1,0,A2
2015-07-15 20:00:00,4,2,C5
2015-07-30 20:00:00,0,0,A1
2016-07-25 20:00:00,0,1,B1
2017-05-05 20:00:00,3,0,A4
2017-06-19 20:00:00,2,0,A3
2017-08-02 20:00:00,3,0,A4
2017-08-04 20:00:00,3,0,A4
2018-06-28 20:00:00,0,2,C1
2018-07-17 20:00:00,0,0,A1
2018-07-27 20:00:00,2,0,A3
2018-08-04 20:00:00,0,3,D1
2018-08-07 20:00:00,1,1,B2
2018-08-11 20:00:00,2,2,C3
2018-09-25 20:00:00,0,1,B1
2018-09-28 20:00:00,0,0,A1
2019-07-18 20:00:00,0,2,C1
2019-07-22 20:00:00,3,0,A4
2019-07-23 20:00:00,4,0,A5
2019-07-31 20:00:00,2,1,B3
2019-08-07 20:00:00,2,0,A3
2020-07-10 20:00:00,0,2,C1
2021-06-08 20:00:00,0,3,D1
2021-07-02 20:00:00,3,2,C4
2021-07-08 20:00:00,1,0,A2
2021-08-22 20:00:00,0,2,C1
2021-08-27 20:00:00,0,2,C1
2021-09-01 20:00:00,4,1,B5
2022-07-18 20:00:00,1,1,B2
2022-09-13 20:00:00,3,0,A4
2023-07-16 20:00:00,2,0,A3
2023-09-29 20:00:00,0,3,D1
2024-08-06 20:00:00,0,0,A1
2025-07-14 20:00:00,0,1,B1
2025-07-31 20:00:00,0,0,A1
2025-08-13 20:00:00,0,1,B1
2025-10-30 20:00:00,3,0,A4
