EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5583680,QUEENS CO.,LONG ISLAND EXPWY,07/03/1996,1520,Flash Flood, , ,0,0,0,0,NY,EST, ,2057013,C,81,OKX,0,0, , , , , , , , ,LONG ISLAND EXPWY,07/03/1996,1520, , , , ,,"Strong thunderstorms during late morning and again from late afternoon through early evening produced torrential rain that caused widespread flash flooding of low lying and poor drainage areas, small streams, and rivers. | Cars were trapped in flooding on the Long Island Expressway in Queens and the Northern State Parkway in Nassau Counties. In Rockland County, torrential rains forced the Mahwah River over its banks flooding parts of the New York State Thruway near Suffern. Serious road flooding was also reported along Richmond Parkway in Staten Island. | At around 6:00 pm EST, lightning set a roof on fire in New Rochelle in Southern Westchester County. No injuries or deaths were reported.",1
5583683,RICHMOND CO.,RICHMOND PKWY,07/03/1996,1840,Flash Flood, , ,0,0,0,0,NY,EST, ,2057013,C,85,OKX,0,0, , , , , , , , ,RICHMOND PKWY,07/03/1996,1840, , , , ,,"Strong thunderstorms during late morning and again from late afternoon through early evening produced torrential rain that caused widespread flash flooding of low lying and poor drainage areas, small streams, and rivers. | Cars were trapped in flooding on the Long Island Expressway in Queens and the Northern State Parkway in Nassau Counties. In Rockland County, torrential rains forced the Mahwah River over its banks flooding parts of the New York State Thruway near Suffern. Serious road flooding was also reported along Richmond Parkway in Staten Island. | At around 6:00 pm EST, lightning set a roof on fire in New Rochelle in Southern Westchester County. No injuries or deaths were reported.",2
5583752,NEW YORK CO.,NEW YORK,07/08/1996,1829,Flash Flood, , ,0,0,0,0,NY,EST, ,1031702,C,61,OKX,0,0, , , , , , , , ,NEW YORK,07/08/1996,1829, , , , ,,"Clusters of strong thunderstorms developed in a moist unstable airmass ahead of a slow moving cold front. | As thunderstorms moved east southeast at speeds averaging 20 MPH, they produced high winds, large hail and torrential rain. | Trees were knocked down and a building collapsed at the intersection of Jersey and Front Streets in Port Jervis of Orange County. In addition to the 1 inch diameter hail report from Stony Point, 3/4 inch diameter hail was also reported in Pomona in Rockland County. Winds that gusted to 75 MPH downed trees in Ossining in Westchester County. Serious flooding was reported along the Saw Mill River Parkway in Westchester County and across Southern New York County. A huge maple tree was downed about 1/2 mile north of the Sayville train station in Suffolk County.",3
5583915,KINGS CO.,BROOKLYN,07/13/1996,830,Flash Flood, , ,0,0,0,0,NY,EST, ,2057022,C,47,OKX,0,0, , , , , , , , ,BROOKLYN,07/13/1996,830, , , , ,,"As Tropical Storm Bertha moved northeast, passing east of Atlantic City, NJ around 11 am and over Long Island during the afternoon, it produced torrential rain and strong gusty winds.. | Torrential rain caused flooding of low lying and poor drainage areas, streams, and rivers across the area. The heaviest rain fell in a band to the northwest of Bertha's track over the Lower Hudson Valley. | Serious widespread flooding was reported along the Brooklyn Queens Expressway in Kings County and along the Long Island Expressway in Nassau County. | The Mahwah River at Suffern, NY in Rockland County rose above its' 4 foot flood stage from 11:30 am EST on July 13th through 10:15 am on July 14th. The crest stage was 5.75 feet at 1:15 pm on July 13th. The Saw Mill River in Westchester County also flooded. | Here are selected rainfall amounts: | For Orange County: from 3.26 inches at Ridgebury to 4.50 inches at Greenwood Lake. | For Rockland County: from 3.25 inches at West Nyack to 4.65 inches at Pomona. | For Westchester County: 3.09 inches was measured at Ossining. | For New York City: from 1.40 inches at LaGuardia Airport to 1.76 inches at Central Park. | For Nassau County: 1.80 inches was measured at Lynbrook and 1.82 inches at Levittown. | For Suffolk County: from 0.76 inches at East Quogue to 1.90 inches at West Islip. | No reports were available from Putnam County. | The highest wind speeds were along the immediate coast. Wind gusts measured from the local area airports ranged from 30 MPH at Farmingdale Airport to 44 MPH at LaGuardia Airport. The highest wind gusts reported by spotters were in Western Suffolk County, from 49 MPH at West Islip to 74 MPH at Babylon Village. This narrow band of peak wind gusts was validated by the radar wind velocity data.",4
5584006,RICHMOND CO.,RICHMONDTOWN,07/31/1996,1010,Flash Flood, , ,0,0,0,0,NY,EST, ,2057027,C,85,OKX,0,0, , , , , , , , ,RICHMONDTOWN,07/31/1996,1010, , , , ,,"Clusters of thunderstorms developed north of an approaching warm front in a moist unstable airmass. | As these thunderstorms moved northeast, they produced torrential rain. The axis of heaviest rainfall extended from Northeast Middlesex County, NJ northeast across Central Nassau County. From 2 to 5 inches of rain fell across this area during 3 hours from late morning through early afternoon. | The hardest hit counties were Richmond, Kings, Queens, Nassau, and Western Suffolk. | At Richmondtown, several houses were damaged in mudslides. | Across both Kings and Queens Counties, serious widespread flash flooding of roads occurred and numerous basements were flooded. | In Kings County, street and basement flooding occurred on Bay 11th street at Bath Beach. Water was up to the car doors along parts of the Belt Parkway at Sheepshead Bay. Additional widespread street and basement flooding occurred at Graves End. | In Nassau County, the same events occurred. Water was up to 2 feet deep in several streets at Long Beach, where several basements flooded. The Wantagh and Meadowbrook State Parkways were closed near East Meadow as well as Bellmore Ave. Widespread street flooding was also reported in Wantagh. | In Western Suffolk County, widespread street flooding was reported at Melville and West Islip. Water was up to 3 feet deep along some of the low-lying streets in Melville. | In Eastern Suffolk County, water was up to 2 feet deep along several streets in Southampton.",5
5584008,QUEENS CO.,COUNTYWIDE,07/31/1996,1012,Flash Flood, , ,0,0,0,0,NY,EST, ,2057027,C,81,OKX,0,0, , , , , , , , ,COUNTYWIDE,07/31/1996,1012, , , , ,,"Clusters of thunderstorms developed north of an approaching warm front in a moist unstable airmass. | As these thunderstorms moved northeast, they produced torrential rain. The axis of heaviest rainfall extended from Northeast Middlesex County, NJ northeast across Central Nassau County. From 2 to 5 inches of rain fell across this area during 3 hours from late morning through early afternoon. | The hardest hit counties were Richmond, Kings, Queens, Nassau, and Western Suffolk. | At Richmondtown, several houses were damaged in mudslides. | Across both Kings and Queens Counties, serious widespread flash flooding of roads occurred and numerous basements were flooded. | In Kings County, street and basement flooding occurred on Bay 11th street at Bath Beach. Water was up to the car doors along parts of the Belt Parkway at Sheepshead Bay. Additional widespread street and basement flooding occurred at Graves End. | In Nassau County, the same events occurred. Water was up to 2 feet deep in several streets at Long Beach, where several basements flooded. The Wantagh and Meadowbrook State Parkways were closed near East Meadow as well as Bellmore Ave. Widespread street flooding was also reported in Wantagh. | In Western Suffolk County, widespread street flooding was reported at Melville and West Islip. Water was up to 3 feet deep along some of the low-lying streets in Melville. | In Eastern Suffolk County, water was up to 2 feet deep along several streets in Southampton.",6
5584007,KINGS CO.,BATH BEACH,07/31/1996,1012,Flash Flood, , ,0,0,0,0,NY,EST, ,2057027,C,47,OKX,0,0, , , , , , , , ,BATH BEACH,07/31/1996,1030, , , , ,,"Clusters of thunderstorms developed north of an approaching warm front in a moist unstable airmass. | As these thunderstorms moved northeast, they produced torrential rain. The axis of heaviest rainfall extended from Northeast Middlesex County, NJ northeast across Central Nassau County. From 2 to 5 inches of rain fell across this area during 3 hours from late morning through early afternoon. | The hardest hit counties were Richmond, Kings, Queens, Nassau, and Western Suffolk. | At Richmondtown, several houses were damaged in mudslides. | Across both Kings and Queens Counties, serious widespread flash flooding of roads occurred and numerous basements were flooded. | In Kings County, street and basement flooding occurred on Bay 11th street at Bath Beach. Water was up to the car doors along parts of the Belt Parkway at Sheepshead Bay. Additional widespread street and basement flooding occurred at Graves End. | In Nassau County, the same events occurred. Water was up to 2 feet deep in several streets at Long Beach, where several basements flooded. The Wantagh and Meadowbrook State Parkways were closed near East Meadow as well as Bellmore Ave. Widespread street flooding was also reported in Wantagh. | In Western Suffolk County, widespread street flooding was reported at Melville and West Islip. Water was up to 3 feet deep along some of the low-lying streets in Melville. | In Eastern Suffolk County, water was up to 2 feet deep along several streets in Southampton.",7
5584010,KINGS CO.,COUNTYWIDE,07/31/1996,1100,Flash Flood, , ,0,0,0,0,NY,EST, ,2057027,C,47,OKX,0,0, , , , , , , , ,COUNTYWIDE,07/31/1996,1100, , , , ,,"Clusters of thunderstorms developed north of an approaching warm front in a moist unstable airmass. | As these thunderstorms moved northeast, they produced torrential rain. The axis of heaviest rainfall extended from Northeast Middlesex County, NJ northeast across Central Nassau County. From 2 to 5 inches of rain fell across this area during 3 hours from late morning through early afternoon. | The hardest hit counties were Richmond, Kings, Queens, Nassau, and Western Suffolk. | At Richmondtown, several houses were damaged in mudslides. | Across both Kings and Queens Counties, serious widespread flash flooding of roads occurred and numerous basements were flooded. | In Kings County, street and basement flooding occurred on Bay 11th street at Bath Beach. Water was up to the car doors along parts of the Belt Parkway at Sheepshead Bay. Additional widespread street and basement flooding occurred at Graves End. | In Nassau County, the same events occurred. Water was up to 2 feet deep in several streets at Long Beach, where several basements flooded. The Wantagh and Meadowbrook State Parkways were closed near East Meadow as well as Bellmore Ave. Widespread street flooding was also reported in Wantagh. | In Western Suffolk County, widespread street flooding was reported at Melville and West Islip. Water was up to 3 feet deep along some of the low-lying streets in Melville. | In Eastern Suffolk County, water was up to 2 feet deep along several streets in Southampton.",8
5584011,QUEENS CO.,COUNTYWIDE,07/31/1996,1100,Flash Flood, , ,0,0,0,0,NY,EST, ,2057027,C,81,OKX,0,0, , , , , , , , ,COUNTYWIDE,07/31/1996,1100, , , , ,,"Clusters of thunderstorms developed north of an approaching warm front in a moist unstable airmass. | As these thunderstorms moved northeast, they produced torrential rain. The axis of heaviest rainfall extended from Northeast Middlesex County, NJ northeast across Central Nassau County. From 2 to 5 inches of rain fell across this area during 3 hours from late morning through early afternoon. | The hardest hit counties were Richmond, Kings, Queens, Nassau, and Western Suffolk. | At Richmondtown, several houses were damaged in mudslides. | Across both Kings and Queens Counties, serious widespread flash flooding of roads occurred and numerous basements were flooded. | In Kings County, street and basement flooding occurred on Bay 11th street at Bath Beach. Water was up to the car doors along parts of the Belt Parkway at Sheepshead Bay. Additional widespread street and basement flooding occurred at Graves End. | In Nassau County, the same events occurred. Water was up to 2 feet deep in several streets at Long Beach, where several basements flooded. The Wantagh and Meadowbrook State Parkways were closed near East Meadow as well as Bellmore Ave. Widespread street flooding was also reported in Wantagh. | In Western Suffolk County, widespread street flooding was reported at Melville and West Islip. Water was up to 3 feet deep along some of the low-lying streets in Melville. | In Eastern Suffolk County, water was up to 2 feet deep along several streets in Southampton.",9
5584159,RICHMOND CO.,RICHMOND,09/08/1996,1500,Flash Flood, , ,0,0,0,0,NY,EST, ,2057039,C,85,OKX,0,0, , , , , , , , ,RICHMOND,09/08/1996,1500, , , , ,,"Thunderstorms produced torrential rain that caused significant flash flooding of low lying and poor drainage areas, including many streets. A few thunderstorms produced high winds that knocked down trees in Port Jervis and power lines in Richmond.",10
